artist_track,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Linkin Park - Breaking the habit,71.0,196906,0.0,0.579,0.849,4.0,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021,4
The Doors - Roadhouse blues,71.0,243826,0.0,0.623,0.633,9.0,-8.212,1,0.0304,0.336,4.6e-05,0.147,0.895,121.119,4
Florida Georgia Line - H.o.l.y.,71.0,194186,0.0,0.523,0.666,7.0,-4.081,0,0.0327,0.401,0.0,0.0728,0.564,78.077,4
Stayc - Stereotype,71.0,191695,0.0,0.605,0.805,6.0,-3.212,1,0.0641,0.313,0.0,0.659,0.738,148.298,4
美波 - カワキヲアメク,71.0,251933,0.0,0.541,0.846,6.0,-2.729,0,0.0551,0.0122,0.000149,0.163,0.524,129.138,4
"The Oh Hellos - Soldier, poet, king",71.0,165673,0.0,0.347,0.758,8.0,-7.753,1,0.0706,0.031,0.000659,0.109,0.484,117.959,4
The Cult - She sells sanctuary,71.0,252533,0.0,0.55,0.765,7.0,-8.684,1,0.0287,4.76e-06,0.873,0.132,0.419,139.46,4
Sainte - Champagne shots,71.0,144000,0.0,0.942,0.441,11.0,-11.448,1,0.469,0.493,0.0,0.138,0.925,135.028,4
Blackpink - Ddu-du ddu-du,71.0,209355,0.0,0.671,0.859,4.0,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,4
Huma - Ons,71.0,193239,0.0,0.111,0.0185,0.0,-32.335,1,0.0424,0.957,0.94,0.087,0.0459,76.153,3
Blackpink - Kill this love,71.0,189052,0.0,0.738,0.861,2.0,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,4
"The Beatles - Ob-la-di, ob-la-da - remastered 2009",71.0,188960,0.0,0.818,0.728,10.0,-8.331,1,0.0314,0.232,0.0642,0.251,0.975,113.059,4
Little Circuits - Beautiful imagination,71.0,143052,0.0,0.102,0.0333,3.0,-34.177,1,0.0476,0.797,0.927,0.111,0.0591,89.605,4
La Roux - Bulletproof,71.0,205733,0.0,0.674,0.882,3.0,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,4
The 1975 - Robbers,71.0,254509,0.0,0.621,0.692,4.0,-6.858,1,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,4
Kenshi Yonezu - ピースサイン,71.0,238533,0.0,0.593,0.935,10.0,-3.853,0,0.0684,0.00221,0.0,0.315,0.618,100.003,4
"Sheff G - No suburban, pt. 2",71.0,153561,1.0,0.85,0.458,8.0,-7.82,1,0.339,0.476,0.0,0.26,0.616,143.973,4
Xxxtentacion - Depression & obsession,71.0,144733,1.0,0.769,0.156,11.0,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,4
Cream - Sunshine of your love,71.0,250400,0.0,0.683,0.594,2.0,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,4
Matt Nathanson - Come on get higher,71.0,215173,0.0,0.672,0.623,9.0,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,4
Shaun - Way back home,71.0,214136,0.0,0.745,0.739,10.0,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,4
Greta Van Fleet - Highway tune,71.0,180640,0.0,0.582,0.962,4.0,-3.037,1,0.0542,0.0096,0.128,0.283,0.506,123.971,4
Michael Bublé - Everything,71.0,212373,0.0,0.686,0.688,6.0,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,4
Bea Miller - Feel something,71.0,180161,1.0,0.74,0.415,0.0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,4
Massive Attack - Teardrop,71.0,330773,0.0,0.615,0.419,11.0,-8.8,0,0.0395,0.0173,0.497,0.135,0.216,76.997,4
A1 X J1 - Latest trends,71.0,158117,1.0,0.716,0.513,5.0,-10.159,0,0.223,0.085,0.0,0.12,0.8,141.894,4
I Dont Know How But They Found Me - Choke,71.0,195717,0.0,0.516,0.85,4.0,-3.909,0,0.0706,0.00139,0.0,0.296,0.583,120.324,4
Bryan Adams - Have you ever really loved a woman?,71.0,291666,0.0,0.57,0.478,7.0,-10.185,1,0.0322,0.536,1.33e-05,0.0931,0.358,145.517,3
The Chicks - Cowboy take me away,71.0,287266,0.0,0.467,0.622,6.0,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,4
T. Rex - Get it on,71.0,262613,0.0,0.728,0.878,11.0,-6.926,0,0.0564,0.176,0.856,0.61,0.911,126.59,4
Stray Kids - Venom,71.0,194840,0.0,0.812,0.807,9.0,-3.354,1,0.339,0.11,0.0,0.211,0.4,136.979,4
"Martin Garrix, Bonn - High on life",71.0,230761,0.0,0.414,0.486,6.0,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.038,4
"Trinix, Queen D - She said",71.0,173750,0.0,0.808,0.538,0.0,-10.211,0,0.0608,0.108,0.0743,0.0555,0.416,108.026,4
"Vicetone, Cozi Zuehlsdorff - Nevada",71.0,208561,0.0,0.605,0.783,3.0,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015,4
"Clean Bandit, Demi Lovato - Solo",71.0,222653,0.0,0.737,0.636,11.0,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,4
Los Amigos Invisibles - La que me gusta,71.0,239626,0.0,0.721,0.833,7.0,-7.469,1,0.0777,0.122,0.000115,0.135,0.549,100.005,4
Alan Jackson - Good time,71.0,306773,0.0,0.652,0.767,9.0,-10.445,1,0.0372,0.0355,6.92e-06,0.397,0.73,132.017,4
Bob Marley & The Wailers - One love / people get ready - medley,71.0,172933,0.0,0.67,0.516,10.0,-9.598,1,0.366,0.0673,0.0,0.0674,0.939,154.186,4
Sufjan Stevens - Mystery of love,71.0,248960,0.0,0.365,0.273,4.0,-16.526,0,0.038,0.94,0.431,0.109,0.238,132.285,5
Tomorrow X Together - Lonely boy,71.0,168751,0.0,0.666,0.639,2.0,-5.245,0,0.131,0.24,0.0,0.0928,0.505,144.881,4
Keshi - Drunk,71.0,227031,0.0,0.691,0.389,4.0,-8.247,1,0.0367,0.765,0.0,0.0941,0.306,104.952,4
Gracie Abrams - Feels like,71.0,152317,0.0,0.617,0.483,11.0,-7.359,1,0.0458,0.702,0.000216,0.121,0.176,144.99,4
Anson Seabra - Welcome to wonderland,71.0,199131,0.0,0.703,0.179,4.0,-10.906,1,0.0366,0.949,0.0,0.102,0.346,97.427,3
Led Zeppelin - Kashmir - remaster,71.0,517125,0.0,0.483,0.615,2.0,-8.538,1,0.0497,0.452,0.000414,0.0512,0.594,80.576,3
Mehro - Chance with you,71.0,215515,0.0,0.562,0.494,4.0,-8.13,0,0.0278,0.864,0.0259,0.153,0.383,144.104,4
"Dj Snake, Lil Jon - Turn down for what",71.0,213733,0.0,0.818,0.799,1.0,-4.1,0,0.156,0.00107,0.128,0.057,0.0815,100.014,4
Jess Benko - A soulmate who wasn’t meant to be,71.0,316556,0.0,0.571,0.0274,9.0,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,3
Clinton Kane - I don't want to watch the world end with someone else,71.0,184505,0.0,0.535,0.359,2.0,-9.343,1,0.0607,0.771,0.0,0.111,0.488,154.163,4
Metronomy - The look,71.0,277653,0.0,0.638,0.535,9.0,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,4
"J Balvin, Sech - Una nota",71.0,170760,0.0,0.662,0.788,3.0,-4.55,0,0.205,0.0191,0.0,0.0559,0.711,179.876,4
Shady Moon - Cherry blossoms,71.0,138367,1.0,0.792,0.346,8.0,-11.424,1,0.25,0.74,0.000776,0.223,0.462,117.932,4
"Iamchino, Pitbull, Yandel, El Chacal - Ay mi dios",71.0,252003,0.0,0.761,0.829,0.0,-3.203,0,0.0682,0.169,0.0,0.189,0.814,92.034,4
Zz Top - Gimme all your lovin',71.0,241080,0.0,0.63,0.788,5.0,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,4
"Badbadnotgood, Samuel T. Herring - Time moves slow",71.0,273864,0.0,0.591,0.376,11.0,-10.832,0,0.0543,0.478,0.0282,0.101,0.308,140.026,4
Modern Talking - Brother louie,71.0,222666,0.0,0.783,0.836,0.0,-9.223,0,0.0486,0.396,0.0236,0.135,0.831,108.966,4
Yiruma - River flows in you,71.0,188786,0.0,0.315,0.22,9.0,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,4
Mr. Mister - Broken wings,71.0,343933,0.0,0.286,0.5,1.0,-14.281,0,0.0357,0.134,4.57e-05,0.108,0.443,99.162,4
"Weibird - 如果可以 - 電影""月老""主題曲",71.0,274400,0.0,0.54,0.54,3.0,-6.368,1,0.029,0.241,0.0,0.351,0.372,74.969,4
Home - Resonance,71.0,212881,0.0,0.566,0.74,8.0,-8.614,1,0.063,0.0352,0.849,0.221,0.419,170.098,5
Delaney Bailey - J's lullaby,71.0,290132,0.0,0.54,0.11,8.0,-19.885,1,0.0328,0.498,0.000614,0.0781,0.172,76.068,4
"Robin Schulz, Tom Walker - Sun will shine",71.0,201700,0.0,0.534,0.714,6.0,-6.347,0,0.0629,0.00633,0.0,0.0879,0.415,125.99,4
"Fatboibari, Shiloh - Moonlight shawty",71.0,167994,1.0,0.671,0.184,5.0,-15.541,1,0.123,0.835,0.0011,0.0794,0.128,106.04,4
Luke Chiang - Shouldn't be,71.0,210480,0.0,0.647,0.294,6.0,-10.344,0,0.0312,0.728,0.0,0.123,0.323,124.999,3
Elvis Presley - If i can dream,71.0,191840,0.0,0.325,0.715,7.0,-7.744,1,0.0368,0.00708,2.79e-05,0.0987,0.282,93.914,3
Nat King Cole - L-o-v-e,71.0,155306,0.0,0.425,0.373,4.0,-7.543,1,0.0801,0.686,0.0,0.077,0.663,78.231,4
"Grover Washington, Jr. - Just the two of us",71.0,443773,0.0,0.743,0.429,10.0,-14.576,0,0.0902,0.447,0.362,0.0455,0.597,95.406,4
Nirvana - Rape me,71.0,170000,0.0,0.42,0.746,8.0,-10.628,1,0.0467,0.0141,0.0,0.0661,0.229,111.886,4
"Skrillex, Kendrick Lamar - Humble. - skrillex remix",71.0,156800,1.0,0.901,0.934,11.0,-2.345,1,0.273,0.00794,7.68e-05,0.194,0.868,150.037,4
Black Veil Brides - In the end,71.0,228280,0.0,0.442,0.939,8.0,-4.18,1,0.0941,0.000183,0.00589,0.0857,0.27,140.021,4
Ellie Goulding - Burn,71.0,231211,0.0,0.559,0.777,1.0,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,4
When In Rome - The promise,71.0,220960,0.0,0.629,0.876,0.0,-10.141,1,0.0444,0.0864,7.72e-05,0.0431,0.358,118.01,4
Mobb Deep - Survival of the fittest,71.0,224533,1.0,0.813,0.703,11.0,-5.077,0,0.268,0.125,1.26e-06,0.237,0.241,94.828,4
Billy Idol - White wedding - pt. 1,71.0,252200,0.0,0.673,0.814,9.0,-5.411,1,0.0367,0.0133,0.00293,0.343,0.728,147.193,4
Keshi - Somebody,71.0,164662,1.0,0.649,0.461,8.0,-8.401,1,0.0449,0.442,0.0,0.108,0.487,141.088,4
"Tove Lo - How long - from""euphoria"" an hbo original series",71.0,199314,0.0,0.668,0.687,7.0,-7.129,0,0.058,0.0157,0.000822,0.149,0.468,97.025,4
Ac/Dc - Rock n roll train,71.0,261506,0.0,0.547,0.931,2.0,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,4
"Sagun, Shiloh Dynasty - I'll keep you safe",71.0,185875,0.0,0.752,0.0625,7.0,-24.694,1,0.0557,0.945,0.819,0.178,0.462,114.982,4
Jimi Hendrix - Little wing,71.0,145746,0.0,0.515,0.534,6.0,-8.045,1,0.0768,0.181,0.00278,0.0547,0.426,70.776,4
Poison - Every rose has its thorn - remastered 2003,71.0,260173,0.0,0.533,0.637,6.0,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167,4
Jimi Hendrix - Purple haze,71.0,170813,0.0,0.533,0.905,2.0,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,4
Etta James - I'd rather go blind,71.0,156653,0.0,0.477,0.433,11.0,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,3
Yuuri - シャッター,71.0,248946,0.0,0.606,0.579,5.0,-5.582,1,0.033,0.512,0.0,0.381,0.661,149.988,4
Glass Animals - Gooey,71.0,289306,0.0,0.487,0.369,11.0,-13.424,0,0.0406,0.736,3.75e-05,0.0925,0.106,183.114,4
Cascada - Everytime we touch,71.0,197124,0.0,0.633,0.976,8.0,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,4
Eno - 90x180,71.0,154273,1.0,0.822,0.564,6.0,-10.726,1,0.0931,0.48,0.00572,0.129,0.596,139.982,4
Creed - My sacrifice,71.0,294600,0.0,0.32,0.88,2.0,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,4
Souls Of Mischief - 93 'til infinity,71.0,286440,0.0,0.59,0.672,1.0,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,4
Demxntia - Tonight,71.0,84875,0.0,0.719,0.63,5.0,-7.142,1,0.0853,0.255,0.557,0.141,0.4,170.103,4
The Struts - Could have been me,71.0,187653,0.0,0.541,0.907,4.0,-4.512,1,0.0642,0.0158,0.000185,0.34,0.434,80.029,4
George Thorogood & The Destroyers - Bad to the bone,71.0,292173,0.0,0.459,0.727,0.0,-11.777,1,0.0303,0.00614,0.0652,0.384,0.955,149.231,1
Růde - Eternal youth,71.0,205766,0.0,0.655,0.487,6.0,-7.988,1,0.033,0.0347,0.897,0.271,0.0454,139.914,4
"Akon, Hamsika Iyer - Chammak challo",71.0,227091,0.0,0.742,0.879,0.0,-4.274,0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946,4
Violent Femmes - Blister in the sun,71.0,145706,0.0,0.726,0.537,0.0,-8.896,1,0.114,0.316,0.0,0.0707,0.882,96.889,4
Radiohead - Weird fishes/ arpeggi,71.0,318186,0.0,0.531,0.61,11.0,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,4
The Who - Behind blue eyes,71.0,221426,0.0,0.394,0.622,4.0,-8.258,0,0.0336,0.213,4.45e-05,0.0892,0.342,126.844,4
Lil Tjay - Leaked,71.0,220240,1.0,0.51,0.619,7.0,-7.918,1,0.281,0.801,0.0,0.0811,0.321,97.018,4
Faces - Ooh la la,71.0,214080,0.0,0.601,0.574,2.0,-8.166,1,0.03,0.579,1.14e-05,0.216,0.8,147.964,4
"G-Eazy, A$Ap Rocky, Cardi B - No limit",71.0,245386,1.0,0.838,0.771,1.0,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957,4
Dmx - Where the hood at,71.0,286266,1.0,0.537,0.948,8.0,-3.063,1,0.355,0.151,0.0,0.356,0.792,186.151,4
Ilytommy - Forever,71.0,108695,0.0,0.613,0.339,5.0,-14.908,0,0.135,0.678,0.0,0.166,0.292,106.582,5
Tom Walker - Leave a light on,71.0,185863,0.0,0.586,0.624,5.0,-5.946,1,0.113,0.0153,1.78e-06,0.133,0.267,68.976,4
David Kushner - Miserable man,71.0,232991,0.0,0.632,0.349,10.0,-10.289,1,0.0346,0.926,7.5e-05,0.294,0.307,109.981,4
Exid - Fire,71.0,207013,0.0,0.75,0.941,8.0,-1.759,1,0.0609,0.0111,2.11e-06,0.228,0.867,129.978,4
Claire Rosinkranz - Backyard boy,71.0,129240,0.0,0.817,0.635,5.0,-7.246,1,0.163,0.323,0.0,0.0738,0.454,138.015,4
Metallica - Fuel,71.0,269800,1.0,0.49,0.951,1.0,-3.777,1,0.0477,2.02e-05,0.0027,0.0314,0.589,106.946,4
Pet Shop Boys - Always on my mind,71.0,234906,0.0,0.533,0.783,7.0,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874,4
Young The Giant - Cough syrup,71.0,249520,0.0,0.534,0.721,11.0,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,3
The Beach Boys - Good vibrations - remastered 2001,71.0,219026,0.0,0.396,0.473,10.0,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,4
N.W.A. - Fuck tha police,71.0,345717,1.0,0.859,0.75,8.0,-8.325,0,0.303,0.0193,0.0,0.0538,0.857,98.691,4
Hayd - Head in the clouds,71.0,184559,0.0,0.778,0.134,4.0,-17.927,1,0.0506,0.967,0.00352,0.0936,0.287,116.078,4
Metallica - Sad but true,71.0,323933,0.0,0.633,0.846,7.0,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,4
"Fivio Foreign, The Kid Laroi - Paris to tokyo",71.0,130897,1.0,0.642,0.787,5.0,-6.389,0,0.17,0.0185,0.0,0.288,0.406,146.733,4
Brooks & Dunn - Boot scootin' boogie,71.0,198226,0.0,0.656,0.817,11.0,-4.296,0,0.0435,0.22,0.0,0.304,0.862,130.448,4
Vaundy - 怪獣の花唄,71.0,224806,0.0,0.425,0.939,2.0,-3.498,1,0.054,0.00361,0.0,0.331,0.638,150.015,4
The Hollies - Long cool woman  - 1999 remaster,71.0,199200,0.0,0.757,0.868,9.0,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,4
Foreigner - Waiting for a girl like you,71.0,292066,0.0,0.33,0.469,10.0,-9.286,0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,4
"Ardhito Pramono, Aurélie - I just couldn't save you tonight  - story of kale - original motion picture soundtrack",71.0,219600,0.0,0.372,0.322,7.0,-9.831,1,0.0398,0.851,1.02e-06,0.108,0.152,85.064,4
Portishead - Glory box,71.0,308626,0.0,0.51,0.434,1.0,-10.004,1,0.0361,0.177,0.516,0.0603,0.207,119.695,4
Bts - Blue & grey,71.0,254950,0.0,0.547,0.605,8.0,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,4
Gentrammel - Out of my mind,71.0,173846,1.0,0.61,0.609,9.0,-7.193,1,0.0372,0.663,0.0,0.61,0.659,78.009,4
Falling In Reverse - Zombified,71.0,218520,1.0,0.544,0.911,10.0,-3.681,0,0.0422,0.000141,8.89e-06,0.333,0.558,91.033,4
"All Time Low, Blackbear - Monsters",71.0,174067,1.0,0.369,0.845,0.0,-3.449,0,0.0611,0.0493,0.0,0.416,0.782,78.532,4
Seventeen - Don't wanna cry,71.0,203426,0.0,0.781,0.683,0.0,-4.258,1,0.0325,0.164,1.53e-06,0.16,0.722,100.005,4
Matchbox Twenty - Push,71.0,238666,0.0,0.42,0.672,6.0,-7.902,1,0.027,0.0067,0.0,0.108,0.476,168.019,4
Simon & Garfunkel - The boxer,71.0,308520,0.0,0.439,0.488,11.0,-14.464,1,0.0615,0.702,0.000339,0.16,0.629,93.017,4
Matchbox Twenty - 3am,71.0,225946,0.0,0.521,0.673,8.0,-8.685,1,0.0284,0.00573,0.0,0.12,0.543,108.031,4
Alan Walker - The drum,71.0,189287,0.0,0.783,0.762,6.0,-4.727,1,0.0507,0.158,6.56e-05,0.092,0.33,127.993,4
Astrid S - Hurts so good,71.0,208728,0.0,0.672,0.625,7.0,-5.068,0,0.0468,0.0774,0.0,0.0934,0.423,120.038,4
Tina Turner - What's love got to do with it,71.0,226880,0.0,0.851,0.406,1.0,-11.631,1,0.0661,0.219,6.41e-06,0.0853,0.792,97.84,4
Pablo Alborán - Solamente tú,71.0,247186,0.0,0.519,0.419,9.0,-6.276,1,0.033,0.457,0.0,0.161,0.266,140.033,4
Slipknot - The dying song,71.0,203586,0.0,0.516,0.991,11.0,-2.587,0,0.126,0.000467,4.66e-05,0.327,0.402,95.017,4
"Gazzzy, Framed - Feel like god",71.0,155951,1.0,0.819,0.35,1.0,-10.433,1,0.062,0.0585,0.243,0.109,0.118,121.966,4
P.O.D. - Youth of the nation,71.0,256240,0.0,0.563,0.86,8.0,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,4
10Cc - I'm not in love,71.0,366640,0.0,0.404,0.523,4.0,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,4
Burna Boy - Ye,71.0,231618,1.0,0.503,0.592,5.0,-5.923,0,0.444,0.0181,0.00014,0.169,0.344,201.85,4
Irene Cara - What a feeling,71.0,244533,0.0,0.532,0.729,10.0,-6.84,1,0.0474,0.382,0.0,0.366,0.595,121.97,4
Sister Sledge - We are family - 1995 remaster,71.0,216733,0.0,0.784,0.893,7.0,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,4
Gladys Knight & The Pips - Midnight train to georgia,71.0,279333,0.0,0.595,0.379,10.0,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,4
The Jacksons - Blame it on the boogie,71.0,214200,0.0,0.774,0.641,1.0,-10.193,1,0.0799,0.0765,0.0,0.0867,0.875,113.256,4
"Ice Cube, Das Efx - Check yo self - remix",71.0,273106,1.0,0.934,0.735,1.0,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368,4
Christopher Cross - Sailing,71.0,256146,0.0,0.469,0.382,2.0,-13.203,1,0.0374,0.364,0.00025,0.36,0.178,149.994,4
Wild Cherry - Play that funky music,71.0,300000,0.0,0.814,0.672,9.0,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394,4
Oboy - Avec toi,71.0,193813,1.0,0.661,0.666,10.0,-5.932,0,0.0277,0.457,0.0,0.13,0.381,92.475,4
John Vincent Iii - Next to you,71.0,256519,0.0,0.443,0.419,7.0,-7.975,1,0.0321,0.633,0.00183,0.404,0.0719,132.204,4
"Ap Dhillon, Shinda Kahlon - Dil nu",71.0,233666,0.0,0.811,0.655,1.0,-7.118,0,0.0353,0.0947,1.63e-06,0.068,0.925,117.979,4
Arctic Monkeys - No. 1 party anthem,71.0,243131,0.0,0.505,0.698,0.0,-5.563,1,0.0297,0.33,0.0887,0.0966,0.599,115.013,4
"Alan Walker, Julie Bergan, K-391, Seungri - Ignite",71.0,210288,0.0,0.681,0.864,8.0,-4.3,0,0.116,0.0208,3.98e-06,0.192,0.479,90.008,4
"Alec Benjamin, Alessia Cara - Let me down slowly",71.0,169174,0.0,0.655,0.569,1.0,-5.018,0,0.0349,0.716,7.4e-06,0.135,0.44,150.267,4
Lovelytheband - Sail away,71.0,179000,0.0,0.743,0.835,2.0,-4.655,1,0.029,0.25,0.0,0.0912,0.955,120.019,4
Bts - Silver spoon,71.0,233160,0.0,0.65,0.879,9.0,-2.886,1,0.073,0.00104,0.0,0.0483,0.536,166.895,4
Creed - Higher,71.0,316733,0.0,0.459,0.83,2.0,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.827,4
Yama - 色彩,71.0,192175,0.0,0.581,0.926,7.0,-3.268,0,0.0662,0.176,0.0,0.251,0.874,117.04,4
"Hrvy, Matoma - Good vibes",71.0,170280,0.0,0.558,0.877,10.0,-3.392,1,0.145,0.274,0.0,0.162,0.762,99.988,4
Pearl Jam - Jeremy,71.0,318226,1.0,0.285,0.846,2.0,-6.472,1,0.0438,0.0404,0.0,0.182,0.287,108.808,4
"Vinai, Vamero - Rise up",71.0,182000,0.0,0.648,0.927,1.0,-3.633,1,0.049,0.011,0.0,0.162,0.361,126.037,4
