,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,cluster_genres,cluster_attributs,artist_track
723,0y1QJc3SJVPKJ1OvFmFqe6,Kaleo,A/B,Way down we go,78,213706,False,0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4,alt-rock,23,3,Kaleo - Way down we go
724,6rrKbzJGGDlSZgLphopS49,The Score,ATLAS,Unstoppable,73,192106,False,0.485,0.843,1,-3.993,0,0.0467,0.00129,1.01e-05,0.14,0.602,78.001,4,alt-rock,23,3,The Score - Unstoppable
725,4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells like teen spirit,83,301920,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,alt-rock,23,2,Nirvana - Smells like teen spirit
726,0AUyNF6iFxMNQsNx2nhtrw,Grandson,Blood // Water,Blood // water,75,216720,False,0.51,0.882,8,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,154.029,4,alt-rock,23,3,Grandson - Blood // water
727,4kbj5MwxO1bq9wjT5g9HaA,Walk The Moon,TALKING IS HARD,Shut up and dance,83,199080,False,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4,alt-rock,23,2,Walk The Moon - Shut up and dance
729,5Q6fh8OEhBYepJaORz9lxe,"The Neighbourhood, Syd",Daddy Issues (Remix) feat. Syd,Daddy issues (remix) feat. syd,75,181186,False,0.623,0.533,10,-8.164,1,0.0653,0.245,0.00717,0.112,0.247,84.982,4,alt-rock,23,2,"The Neighbourhood, Syd - Daddy issues  feat. syd"
730,2xql0pid3EUwW38AsywxhV,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,80,244013,False,0.648,0.594,11,-7.027,0,0.0293,0.114,0.0462,0.116,0.544,113.983,4,alt-rock,23,3,The Neighbourhood - Reflections
731,4m0q0xQ2BNl9SCAGKyfiGZ,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Somebody else,73,347525,True,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015,4,alt-rock,23,5,The 1975 - Somebody else
732,70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,85,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,alt-rock,23,5,Radiohead - Creep
733,77loZpT5Y5PRP1S451P9Yz,Hoobastank,The Reason (15th Anniversary Deluxe),The reason,81,232800,False,0.472,0.671,4,-4.649,1,0.029,0.0129,0.0,0.159,0.0681,82.952,4,alt-rock,23,2,Hoobastank - The reason
734,10nyNJ6zNy2YVYLrcwLccB,Radiohead,OK Computer,No surprises,82,229120,False,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,alt-rock,23,6,Radiohead - No surprises
735,3SWqGa1J0M7hSBUDM0KePD,The Score,ATLAS,Legend,71,189120,False,0.601,0.757,2,-3.341,1,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,4,alt-rock,23,2,The Score - Legend
736,3dPQuX8Gs42Y7b454ybpMR,The White Stripes,Elephant,Seven nation army,84,232106,False,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4,alt-rock,23,3,The White Stripes - Seven nation army
737,0AOmbw8AwDnwXhHC3OhdVB,Thousand Foot Krutch,The End Is Where We Begin,Courtesy call,72,236898,False,0.531,0.638,11,-5.145,0,0.0809,0.00409,0.0,0.0822,0.445,164.079,4,alt-rock,23,3,Thousand Foot Krutch - Courtesy call
738,2u0CelO5c81XS7z3dGpHbS,The Neighbourhood,Wiped Out!,The beach,78,255133,False,0.245,0.64,2,-7.426,0,0.0608,0.131,8.11e-06,0.0766,0.105,135.739,4,alt-rock,23,3,The Neighbourhood - The beach
739,0VF7YLIxSQKyNiFL3X6MmN,The Neighbourhood,Chip Chrome & The Mono-Tones (Deluxe),Stargazing,76,217026,False,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,4,alt-rock,23,2,The Neighbourhood - Stargazing
741,73jVPicY2G9YHmzgjk69ae,The 1975,The 1975,Robbers,71,254509,False,0.621,0.692,4,-6.858,1,0.0291,0.000363,1.75e-05,0.335,0.381,99.806,4,alt-rock,23,2,The 1975 - Robbers
742,0uBdQzKghx88d2Lp8SLFKJ,The 1975,I'm In Love With You,I'm in love with you,78,262623,True,0.668,0.902,2,-3.924,1,0.0386,0.169,8.74e-05,0.198,0.913,119.008,4,alt-rock,23,5,The 1975 - I'm in love with you
743,48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,Californication (Deluxe Edition),Californication,82,329733,False,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4,alt-rock,23,3,Red Hot Chili Peppers - Californication
744,003vvx7Niy0yvhvHt4a68B,The Killers,Hot Fuss,Mr. brightside,86,222973,False,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,4,alt-rock,23,2,The Killers - Mr. brightside
746,2RsAajgo0g7bMCHxwH3Sk0,Nirvana,Nevermind (Remastered),Come as you are,79,218920,False,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4,alt-rock,23,3,Nirvana - Come as you are
747,2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Stadium Arcadium,Snow (hey oh),80,334666,False,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4,alt-rock,23,2,Red Hot Chili Peppers - Snow
748,2UREu1Y8CO4jXkbvqAtP7g,Skillet,Awake,Monster,77,178013,False,0.64,0.957,8,-2.336,1,0.0741,0.0431,0.0,0.0789,0.692,134.992,4,alt-rock,23,2,Skillet - Monster
751,7brQHA2CgQpcMBiOlfiXYb,The Neighbourhood,I Love You.,Afraid,77,251186,True,0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4,alt-rock,23,5,The Neighbourhood - Afraid
752,7JDWhC422Gtk1Bq0mL3OTC,Bea Miller,feel something,Feel something,71,180161,True,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,4,alt-rock,23,5,Bea Miller - Feel something
753,5SDcksP8En1l6RtTY1wzHc,"Hillsong United, Taya",Zion,Oceans (where feet may fail),71,536000,False,0.264,0.363,2,-10.196,1,0.0338,0.501,0.00406,0.11,0.0613,124.328,4,alt-rock,23,6,"Hillsong United, Taya - Oceans"
754,14dJexYlvd3t3XAtD1pYW1,The 1975,Being Funny In A Foreign Language,Oh caroline,76,212568,False,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,4,alt-rock,23,2,The 1975 - Oh caroline
755,3NLrRZoMF0Lx6zTlYqeIo4,3 Doors Down,Away From The Sun,Here without you,76,238733,False,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994,4,alt-rock,23,3,3 Doors Down - Here without you
756,0fYVliAYKHuPmECRs1pbRf,X Ambassadors,VHS,Renegades,76,195200,False,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4,alt-rock,23,2,X Ambassadors - Renegades
757,0i8JFpqe9cKwnrcvoNgl1L,Skillet,Unleashed,Feel invincible,72,229933,False,0.603,0.886,5,-3.777,0,0.0837,0.00045,0.0,0.26,0.395,126.025,4,alt-rock,23,3,Skillet - Feel invincible
758,0GO8y8jQk1PkHzS31d699N,Grouplove,Never Trust a Happy Song,Tongue tied,79,218013,False,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,4,alt-rock,23,2,Grouplove - Tongue tied
761,31AOj9sFz2gM0O3hMARRBx,R.E.M.,Out Of Time (25th Anniversary Edition),Losing my religion,84,268426,False,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,4,alt-rock,23,3,R.E.M. - Losing my religion
762,2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,Picture Show,Everybody talks,80,177280,False,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,4,alt-rock,23,2,Neon Trees - Everybody talks
764,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,The New Abnormal,The adults are talking,79,309053,False,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4,alt-rock,23,2,The Strokes - The adults are talking
765,42T2QQv3xgBlpQxaSP7lnK,Creed,Weathered,One last breath,72,238240,False,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4,alt-rock,23,2,Creed - One last breath
770,77KnJc8o5G1eKVwX5ywMeZ,Young The Giant,Mirrorball / Mind Over Matter (Reprise),Mind over matter (reprise),75,230866,False,0.393,0.487,0,-6.348,1,0.0337,0.229,0.0,0.128,0.3,151.958,4,alt-rock,23,2,Young The Giant - Mind over matter
776,15VRO9CQwMpbqUYA7e6Hwg,Nirvana,MTV Unplugged In New York,The man who sold the world,76,261093,False,0.483,0.753,1,-8.937,0,0.0832,0.425,0.000142,0.257,0.42,115.102,4,alt-rock,23,3,Nirvana - The man who sold the world
777,4CbKVDZkYKdv69I4bCaKUq,Skillet,Awake,Hero,72,186813,False,0.533,0.967,1,-2.543,1,0.0995,0.00791,0.0,0.336,0.782,142.018,4,alt-rock,23,2,Skillet - Hero
779,11LmqTE2naFULdEP94AUBa,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,Heart-shaped box,79,281160,False,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4,alt-rock,23,2,Nirvana - Heart-shaped box
780,3ZOEytgrvLwQaqXreDs2Jx,Red Hot Chili Peppers,By the Way (Deluxe Edition),Can't stop,82,269000,False,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,4,alt-rock,23,2,Red Hot Chili Peppers - Can't stop
783,0EfsDEYaSjGYd66Pr881nq,The Neighbourhood,Wiped Out!,Cry baby,74,235160,False,0.581,0.656,4,-4.891,0,0.0294,0.00269,2.78e-06,0.101,0.338,108.033,4,alt-rock,23,3,The Neighbourhood - Cry baby
784,1fDFHXcykq4iw8Gg7s5hG9,The 1975,Being Funny In A Foreign Language,About you,73,326490,False,0.416,0.762,2,-7.385,1,0.0279,0.312,0.804,0.0559,0.461,95.967,4,alt-rock,23,1,The 1975 - About you
786,7IL8PSVwLOJxqYne6azxQv,The Neighbourhood,Chip Chrome & The Mono-Tones,Pretty boy,75,234093,False,0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,4,alt-rock,23,2,The Neighbourhood - Pretty boy
787,0KzAbK6nItSqNh8q70tb0K,Pixies,Death to the Pixies,Where is my mind?,77,229226,False,0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,4,alt-rock,23,6,Pixies - Where is my mind?
788,1LzNfuep1bnAUR9skqdHCK,Mazzy Star,So Tonight That I Might See,Fade into you,79,295600,False,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,3,alt-rock,23,6,Mazzy Star - Fade into you
789,46gSk82duJtX3TTA182ruG,Franz Ferdinand,This fffire,This fffire - new version,76,218080,False,0.442,0.887,4,-5.943,0,0.1,0.0259,4.57e-06,0.0655,0.637,146.358,4,alt-rock,23,3,Franz Ferdinand - This fffire - new version
790,3TgMcrV32NUKjEG2ujn9eh,The 1975,A Brief Inquiry Into Online Relationships,It's not living (if it's not with you),73,248335,False,0.618,0.837,1,-5.338,1,0.0304,0.000254,0.000378,0.0618,0.526,121.227,4,alt-rock,23,2,The 1975 - It's not living
791,7omxuGYsym1n2RlVf86OF9,The 1975,Being Funny In A Foreign Language,The 1975,71,250900,False,0.542,0.433,9,-10.47,1,0.0305,0.897,0.173,0.101,0.495,140.939,4,alt-rock,23,6,The 1975 - The 1975
792,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Under the bridge,82,264306,False,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4,alt-rock,23,6,Red Hot Chili Peppers - Under the bridge
794,7wCmS9TTVUcIhRalDYFgPy,Pixies,Surfer Rosa,Where is my mind? - remastered,79,234973,False,0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4,alt-rock,23,6,Pixies - Where is my mind? - remastered
795,57iDDD9N9tTWe75x6qhStw,The Verve,Urban Hymns (Remastered 2016),Bitter sweet symphony,80,357266,False,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,4,alt-rock,23,2,The Verve - Bitter sweet symphony
796,3cfOd4CMv2snFaKAnMdnvK,Smash Mouth,Astro Lounge,All star,79,200373,False,0.731,0.867,11,-5.881,1,0.032,0.0395,0.0,0.0861,0.776,104.019,4,alt-rock,23,2,Smash Mouth - All star
799,0xD23i0X1WjqMSYIxRfO80,The Neighbourhood,#000000 & #FFFFFF,Unfair,72,146866,False,0.477,0.572,8,-7.328,1,0.0319,0.00708,0.784,0.144,0.0414,194.033,4,alt-rock,23,1,The Neighbourhood - Unfair
800,7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,VHS,Unsteady,74,193546,False,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,4,alt-rock,23,2,X Ambassadors - Unsteady
801,12g9IeQzX7xECLNxz8dpb5,The 1975,Being Funny In A Foreign Language,I'm in love with you,71,262623,True,0.668,0.902,2,-3.924,1,0.0386,0.169,8.74e-05,0.198,0.913,119.008,4,alt-rock,23,5,The 1975 - I'm in love with you
803,6G8xvLFNkXy3HM5EbQI6c8,Lovelytheband,sail away,Sail away,71,179000,False,0.743,0.835,2,-4.655,1,0.029,0.25,0.0,0.0912,0.955,120.019,4,alt-rock,23,2,Lovelytheband - Sail away
804,5gRcv46AMTrosmTOqrOV3Q,Nirvana,In Utero - 20th Anniversary Remaster,Dumb,75,151893,False,0.697,0.395,6,-13.58,1,0.0281,0.428,0.653,0.173,0.876,113.589,4,alt-rock,23,6,Nirvana - Dumb
808,5W8YXBz9MTIDyrpYaCg2Ky,Papa Roach,Infest,Last resort,80,199906,True,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,4,alt-rock,23,5,Papa Roach - Last resort
811,0eNfURq0r0oNSwFyw1VuVT,The 1975,Being Funny In A Foreign Language,Looking for somebody (to love),72,178617,True,0.522,0.957,2,-4.924,1,0.0687,0.0515,0.0014,0.144,0.917,170.91,4,alt-rock,23,5,The 1975 - Looking for somebody
814,59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing in the name,80,313573,True,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.661,88.785,4,alt-rock,23,5,Rage Against The Machine - Killing in the name
815,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,The Colour And The Shape,Everlong,84,250546,False,0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,4,alt-rock,23,3,Foo Fighters - Everlong
816,6Up545NUflOiXo8cEraH49,Lauren Daigle,Look Up Child,You say,75,274693,False,0.494,0.632,5,-6.89,1,0.0342,0.682,0.0,0.0869,0.0797,147.873,4,alt-rock,23,6,Lauren Daigle - You say
823,4sNG6zQBmtq7M8aeeKJRMQ,Declan Mckenna,What Do You Think About the Car?,Brazil,80,252306,False,0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,4,alt-rock,23,2,Declan Mckenna - Brazil
824,64BbK9SFKH2jk86U3dGj2P,Red Hot Chili Peppers,Californication (Deluxe Edition),Otherside,80,255373,False,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4,alt-rock,23,2,Red Hot Chili Peppers - Otherside
825,0815caqt2Lytro5EIzMufT,Lifehouse,Lifehouse,You and me,76,195493,False,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,3,alt-rock,23,2,Lifehouse - You and me
826,1G391cbiT3v3Cywg8T7DM1,Red Hot Chili Peppers,Californication (Deluxe Edition),Scar tissue,79,215906,False,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4,alt-rock,23,2,Red Hot Chili Peppers - Scar tissue
827,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,Silver Side Up,How you remind me,80,223840,False,0.446,0.764,10,-5.042,1,0.033,0.00135,0.0,0.099,0.543,172.094,4,alt-rock,23,2,Nickelback - How you remind me
828,63OQupATfueTdZMWTxW03A,Radiohead,OK Computer,Karma police,76,264066,False,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,4,alt-rock,23,2,Radiohead - Karma police
829,0ADZ5dmXhlfzjMw6lefoPl,Nickelback,All the Right Reasons,Far away,73,238173,False,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,4,alt-rock,23,2,Nickelback - Far away
830,2oaK4JLVnmRGIO9ytBE1bt,Red Hot Chili Peppers,The Getaway,Dark necessities,74,302000,False,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,4,alt-rock,23,3,Red Hot Chili Peppers - Dark necessities
831,5vHLwhxxlGzmClMcxRRFPr,Nirvana,Nevermind (Remastered),Lithium,73,257053,False,0.678,0.656,7,-6.41,1,0.0381,0.00174,0.0,0.0631,0.485,123.207,4,alt-rock,23,2,Nirvana - Lithium
848,5r5cp9IpziiIsR6b93vcnQ,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),Walking on a dream,79,198440,False,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,4,alt-rock,23,3,Empire Of The Sun - Walking on a dream
853,5v8aEcHcaJIGYpfVVPtJjI,The Neighbourhood,I'm Sorry...,Wires,71,193080,False,0.568,0.569,7,-6.013,0,0.0329,0.0004,0.102,0.342,0.266,72.991,4,alt-rock,23,3,The Neighbourhood - Wires
854,4XfI7M5gLwEY84gYiH4RDD,The Neighbourhood,Chip Chrome & The Mono-Tones,Devil's advocate,71,186306,False,0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,4,alt-rock,23,3,The Neighbourhood - Devil's advocate
855,1jJci4qxiYcOHhQR247rEU,Mgmt,Oracular Spectacular,Kids,78,302840,False,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4,alt-rock,23,2,Mgmt - Kids
858,305WCRhhS10XUcH6AEwZk6,Jet,Get Born,Are you gonna be my girl,76,213800,False,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,4,alt-rock,23,2,Jet - Are you gonna be my girl
860,2a1iMaoWQ5MnvLFBDv4qkf,Radiohead,The Bends,High and dry,75,257480,False,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4,alt-rock,23,6,Radiohead - High and dry
861,3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call it fate, call it karma",72,204773,False,0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4,alt-rock,23,4,"The Strokes - Call it fate, call it karma"
869,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,"Echoes, Silence, Patience & Grace",The pretender,79,269373,False,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,4,alt-rock,23,2,Foo Fighters - The pretender
879,3G9l0CsH7HCkr0SqDE1juj,The 1975,Happiness,Happiness,71,303903,False,0.666,0.909,11,-5.029,1,0.039,0.0438,0.108,0.219,0.846,118.007,4,alt-rock,23,2,The 1975 - Happiness
883,1xLs8Mu1QEVbGCpyHQ2r2U,Dominic Fike,What Could Possibly Go Wrong,Why,71,139906,True,0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,4,alt-rock,23,5,Dominic Fike - Why
886,2MLHyLy5z5l5YRp7momlgw,Weezer,Weezer (Green Album),Island in the sun,78,200306,False,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,4,alt-rock,23,3,Weezer - Island in the sun
887,6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,The Better Life,Kryptonite,80,233933,False,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4,alt-rock,23,3,3 Doors Down - Kryptonite
890,3zjjzKg16tczCMwckGKGuH,Weathers,Happy Pills,Happy pills,71,203080,False,0.521,0.885,4,-4.934,0,0.125,0.00327,0.00904,0.324,0.344,115.985,4,alt-rock,23,3,Weathers - Happy pills
893,6PypGyiu0Y2lCDBN1XZEnP,R.E.M.,Automatic For The People,Everybody hurts,75,320266,False,0.467,0.324,2,-10.451,1,0.0255,0.615,0.0248,0.118,0.166,94.301,3,alt-rock,23,6,R.E.M. - Everybody hurts
